"","txt"
"199","300     Mahesh C. Purohit
Notes
The author is grateful to R. J. Chelliah, Richard Bird, Tuan Minh Le, Pawan Aggarwal,
B. V. Kumar, T. R. Rustagi, Vivek Johari, Sudhir Krishna, Arun Kumar, D. N. Rao, and
V. K. Purohit for their very useful comments on the original draft of the chapter. Thanks
are also due to Madhulika Purohit for her competent research assistance in the course of
the preparation of this material. The author alone, however, remains responsible for the
errors, if any.
 1. Corruption is, of course, prevalent in the private sector, too.
 2. In Sierra Leone the All People’s Congress, the only political party from 1978 to 1992,
     totally controlled civil servants’ political views and associations. From the inception
     of the one-party system, neopatrimonial politics dictated that civil servants be party
     members. In return for their loyalty, civil servants were often shielded, pampered,
     and allowed to increase the range of their powers and pursue opportunities for self-
     enrichment (Kpundeh 1999).
 3. A 1999 survey conducted by the European Bank for Reconstruction and Develop-
     ment of some 3,000 enterprises in 20 transition economies revealed that “bribes” (a
     category that includes corrupt tax practices) act like a regressive tax. The bribe paid
     by smaller firms amounted to 5 percent of their annual revenue; bribes paid by
     medium-size firms amounted to 4 percent of their annual revenue, while those paid
     by larger firms amounted to slightly less than 3 percent of their annual revenue. The
     study reveals that smaller firms paid bribes more frequently than medium-size or
     larger firms (Asher n.d).
 4. The diversion of public resources, services, and assets to private use in Uganda
     resulted in deteriorating roads, poor medical facilities, dilapidated and ill-equipped
     schools, and falling educational standards (Ruzindana and Sedigh 1999).
 5. The international donor community jointly suspended aid to Tanzania in 1994,
     largely in response to massive irregularities in the tax system. Donors declared that
     they would not resume assistance until the government took steps to collect evaded
     tax, recover exempted tax, and initiate legal proceedings against corrupt tax officials
     (Sedigh and Muganda 1999).
 6. This scheme was introduced to identify potential taxpayers. It stipulated that a per-
     son having a credit card, owning a house, possessing a vehicle, paying an electricity
     bill of more than Rs. 50,000 a month, leaving the country during the year, or belong-
     ing to a club is obligated to file an income tax return (Aggarwal 1991). The scheme
     was eliminated in 2006–07.
 7. A more workable solution for making civil service salary competitive would be to
     focus on the performance-based component of gross pay, reflecting and rewarding
     each tax officer’s contribution to the success of anticorruption policies and higher
     collection rates (Pashev 2005).
 8. Uganda reduced the number of employees through a variety of measures. “Over-
     due leavers” (workers past retirement age, irregular entrants, and those identified
     through performance assessment as incompetent) and “ghost workers” (deceased
     workers, fictitious workers, or former employees who remained on the govern-
     ment payroll) were identified and eliminated. The “group employees’ scheme,”
     which allowed senior managers to recruit their own casual, short-term work-
     ers without reference to established job grades, was abolished. Surplus workers
     who were competent, bona fide workers but could not be deployed elsewhere in
"
"200","                                                 Corruption in Tax Administration     301
    the government received severance packages. These measures helped Uganda
    replace a large number of public sector employees with a smaller number of
    higher-quality staff.
References
Aggarwal, Pawan K. 1991.“Identification of Non-Filer Potential Income Tax Payers.” Asia
     Pacific Tax and Investment Research Centre Bulletin 9 (6): 217–24.
Andvig, J., and K. O. Moene. 1990. “How Corruption May Corrupt.” Journal of Economic
     Behaviour and Organization 3 (1): 63–76.
Asher, Mukul G. n.d. “The Design of Tax Systems and Corruption.” Public Policy
     Programme, National University of Singapore.
Bardhan, Pranab. 1997. “Corruption and Development: A Review of Issues.” Journal of
     Economic Literature 35 (September): 1320–46.
Casanegra de Jantscher, Milka. 1990. “Administering the VAT.” In Value Added Tax in
     Developing Countries, ed. Malcolm Gillis, Carl S. Shoup, and Gerardo P. Sicat.
     Washington, DC: World Bank.
Charlick, Robert. 1993.“Corruption and Political Transition: A Governance Perspective.”
     Corruption and Reform 7 (3): 177–88.
De Dios, Emmanuel S., and Ricardo D. Ferrer. 2001. “Corruption in the Philippines:
     Framework and Context.” Public Policy 5 (1): 1–42.
Fjeldstad, Odd-Helge. 2005. “Revenue Administration and Corruption.” U4 Utstein
     Anti-Corruption Resource Centre, Chr. Michaelson Institute, Bergen, Norway.
     http://partner.u4.no.
Goudie, A.W., and D. Stasavage. 1997. “Corruption: The Issues.” Working Paper 122,
     OECD Development Centre, Organisation for Economic Co-operation and Devel-
     opment, Paris.
Heilbrunn, John R. 2004. Anti-corruption Commissions: Panacea or Real Medicine to Fight
     Corruption? World Bank Institute, Washington, DC.
Huther, Jeff, and Anwar Shah. 2001. “Anticorruption Policies and Programs: A Frame-
     work for Evaluation.” Policy Research Working Paper, World Bank, Washington, DC.
Kangle, R. P. 1972. The Kautiliya Arthasastra. Part II. Bombay University, Mumbai.
Klitgaard, R. 1988. Controlling Corruption. Berkeley: University of California Press.
———. 1991. “Strategies for Reform.” Journal of Democracy 2 (4): 86–100.
Kpundeh, S. J. 1992. Democratization in Africa: Africa Views, African Voices. Washington,
     DC: National Academy Press.
––––––––. 1999. “The Fight against Corruption in Sierra Leone.” In Curbing Corruption:
     Toward a Model for Building National Integrity, ed. Rick Stapenhurst and Sahr J.
     Kpundeh. Washington, DC: World Bank.
Kumar, B.V. 2000. “Corruption: An Indian Perspective.” Journal of Money Laundering
     Control 3 (3): 266–79.
Mauro, Paolo. 1995. “Corruption and Growth. “ Quarterly Journal of Economics 110
     (3): 681–712.
Mendoza, Amado M., Jr. 2001. “The Industrial Anatomy of Corruption: Government
     Procurement, Bidding, and Award of Contracts.” Public Policy 5 (1): 43–71.
Mookerjee, Dilip. 1995. “Reforms in Income Tax Enforcement in Mexico.” India Work-
     ing Paper 6, IRIS Center, University of Maryland, College Park.
"
"201","302     Mahesh C. Purohit
Murphy, Kevin, Andrei Shleifer, and Robert W. Vishny. 1993. “Why Is Rent Seeking So
     Costly to Growth?” American Economic Review 83 (2): 409–14.
NIPFP (National Institute of Public Finance and Policy). 1989. The Operation of
     MODVAT. New Delhi: NIPFP.
Pashev, Konstantin. 2005. Corruption and Tax Compliance: Challenges to Tax Policy and
     Administration. Centre for the Study of Democracy, Sofia, Bulgaria.
Purohit, Mahesh C. 2001a. Sales Tax and Value Added Tax in India. Delhi: Gayatri Publi-
     cations.
———. 2001b. “Structure and Administration of VAT in Canada: Lessons for India.”
     International VAT Monitor 12 (6): 311–23.
———. 2006a. State Value Added Tax in India: An Analysis of Revenue Implications. Delhi:
     Gayatri Publications.
———. 2006b. Value Added Tax: Experiences of India and Other Countries. Delhi:
     Gayatri Publications.
Ruzindana, Augustine, and Shahrzad Sedigh. 1999. “The Fight against Corruption in
     Uganda.” In Curbing Corruption: Toward a Model for Building National Integrity, ed.
     Rick Stapenhurst and Sahr J. Kpundeh. Washington, DC: World Bank.
Sedigh, Shahrzad, and Alex Muganda. 1999.“The Fight against Corruption in Tanzania.”
     In Curbing Corruption: Towards a Model for Building National Integrity, ed. Rick
     Stapenhurst and Sahr J. Kpundeh. Washington, DC: World Bank.
Shah, Anwar. 2006. “Corruption and Decentralized Public Governance.” Policy Research
     Working Paper 3824, World Bank, Washington, DC.
Shleifer, Andrei, and Robert W. Vishny. 1993. “Corruption.” Quarterly Journal of Eco-
     nomics 108 (3): 599–617.
Shome, Parthasarathi, S. Mukhopadhyay, and H. N. Saleem. 1997. “Modvat Administra-
     tion.” In Value Added Tax in India: A Progress Report, ed. Parthasarathi Shome. New
     Delhi: Centax Publications.
Stasavage, D., and C. Daubree. 1998. “Determinants of Customs Fraud and Corruption:
     Evidence from Two African Countries.” Working Paper 138, OECD Development
     Centre, Organisation for Economic Co-operation and Development, Paris.
Tanzi, Vito. 1994. “Corruption, Governmental Activities, and Markets.” IMF Working
     Paper 94/99, International Monetary Fund, Washington, DC.
Tirole, Jean. 1996. “A Theory of Collective Reputations.” Review of Economic Studies 63
     (1): 1–22.
Vitosha Research. 2004.“Corruption Monitoring System (Business Sector).” April. Sofia,
     Bulgaria.
Vittal, N. 2003. Corruption in India. Academic Foundation, New Delhi.
"
"202",""
"203",""
"204","            ORGANISATION FOR ECONOMIC CO-OPERATION
                                AND DEVELOPMENT
        The OECD is a unique forum where governments work together to address the
economic, social and environmental challenges of globalisation. The OECD is also at the
forefront of efforts to understand and to help governments respond to new developments
and concerns, such as corporate governance, the information economy and the challenges
of an ageing population. The Organisation provides a setting where governments can
compare policy experiences, seek answers to common problems, identify good practice
and work to co-ordinate domestic and international policies.
        The OECD member countries are: Australia, Austria, Belgium, Canada, Chile, the
Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary,
Iceland, Ireland, Israel, Italy, Japan, Korea, Luxembourg, Mexico, the Netherlands,
New Zealand, Norway, Poland, Portugal, the Slovak Republic, Slovenia, Spain, Sweden,
Switzerland, Turkey, the United Kingdom and the United States. The European
Commission takes part in the work of the OECD.
                                 rights@oecd.org
                                                                        info@copyright.com
                                       contact@cfcopies.com
"
"205","                                                                                                                              TABLE OF CONTENTS – 3
                                                     Table of contents
                  Background and Introduction ..................................................................... 5
                  Chapter 1 Key Findings and Recommendations ...................................... 11
                     A. In general .............................................................................................. 11
                     B. Organisational models for agencies fighting tax crimes and other ...........
                     financial crime ........................................................................................... 11
                     C. Models for sharing information ............................................................ 12
                     D. Models for enhanced co-operation ....................................................... 16
                     E. Recommendations ................................................................................. 17
                 Chapter 2 Organisational Models for Agencies Fighting Financial Crime19
                     A. Tax administration................................................................................ 20
                     B. Customs administration ........................................................................ 22
                     C. Police and other law enforcement agencies .......................................... 24
                     D. Financial Intelligence Unit ................................................................... 25
                     E. Prosecution authority ............................................................................ 27
                     F. Financial regulators ............................................................................... 29
                  Chapter 3 Models for Sharing Information .............................................. 31
                     A. In general .............................................................................................. 32
                     B. Arrangements for sharing information through legal gateways ........... 33
                     C. Analysis of the existing gateways......................................................... 34
                     D. Information held by the tax administration .......................................... 36
                     E. Information held by the police or public prosecutor ............................. 42
                     F. Information held by the Financial Intelligence Unit ............................. 48
                     G. Information held by financial regulators .............................................. 53
                     H. Examples of successful practices ......................................................... 58
                  Chapter 4 Models for Enhanced Co-operation ......................................... 61
                     A. Joint investigation teams ...................................................................... 63
                     B. Inter-agency centres of intelligence ...................................................... 66
                     C. Secondments of personnel between agencies ....................................... 71
                     D. Other strategies ..................................................................................... 73
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
"206",""
"207","                                                                                                  BACKGROUND AND INTRODUCTION – 5
                                          Background and Introduction
                Financial crimes are growing in sophistication and criminals accumulate significant
          sums of money through offences such as drug trafficking, investment fraud, extortion,
          corruption, embezzlement, tax evasion and tax fraud. The nature of financial crime means
          that the same activity may violate a number of different laws. Different government
          agencies may be involved at various stages of tackling financial crimes, including the
          prevention, detection, investigation and prosecution of offences and the recovery of the
          proceeds of crime. Tax offences are often intrinsically linked to other financial crimes as
          criminals fail to report their income from illicit activities for tax purposes. Conversely,
          criminals may over-report income in an attempt to launder the proceeds of crime. The
          Financial Action Task Force („FATF‟) has explicitly recognised the linkages between tax
          crimes and money laundering by adding tax crimes to the list of designated predicate
          offences for money laundering purposes in the 2012 update of its Recommendations.
                Where criminal activity does cross national boundaries, the amounts involved can be
          staggering. A 2011 UNODC report1 estimates that in 2000 to 2009 total proceeds from
          transnational organised crime was the equivalent of 1.5% of global GDP, or 870bn USD
          in 2009. Issues of financial crime are of concern to all countries, but particularly to
          developing countries. Illicit financial flows resulting from financial crimes strip resources
          from developing countries that could finance their long-term development. Although it is
          difficult to estimate the total amounts at stake, experts agree that the amounts at stake are
          vast.
                The OECD has been active in this area for many years. As early as 1998 work was
          initiated in response to a call by G7 Finance Ministers which encouraged international
          action to enhance the capacity of anti-money laundering systems to deal effectively with
          tax related crimes. The OECD and the FATF subsequently strengthened co-operation in
          areas of mutual concern and, since 2003, the OECD has held Observer status at FATF
          meetings. In July 2009, the G8 Leaders called for further efforts in combating illicit
          financing, and acknowledged the progress being made by the FATF in improving the
          standards for combating money laundering and the financing of terrorism and by the
          OECD on international standards of transparency.
                In its 20092 and 20103 Recommendations, the OECD advocated greater co-operation
          and better information sharing between different government agencies involved in the
          fight against financial crimes both domestically and internationally. These
           1.
              United Nations Office on Drugs and Crime, Estimating Illicit Financial Flows from Drug
              Trafficking and Other Transnational Organized Crimes (October 2011).
           2.
              Recommendation on Tax Measures for Further Combating Bribery of Foreign Public Officials in
              International Business Transactions.
           3.
              Recommendation to Facilitate Co-operation between Tax Authorities and Other Law
              Enforcement Authorities to Combat Serious Crimes.
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
"208","6 – BACKGROUND AND INTRODUCTION
          recommendations are reproduced in the box at the end of this chapter. The OECD has
          also developed practical guidance in the form of handbooks to better enable tax officials
          to detect bribes and instances of money laundering. 4 These handbooks have been
          translated into many languages and are being used by tax administrations around the
          world.
                It was against this backdrop that Norway hosted the first Tax and Crime Forum held
          in Oslo in March 2011. The purpose of the Forum was to find more effective ways to use
          a „whole-of-government‟ approach to counter financial crimes by harnessing the skills
          and knowledge of different agencies through better domestic and international
          co-operation. Inter-agency co-operation can enhance financial integrity and good
          governance by improving the effectiveness of countries‟ abilities to fight financial crimes.
          In a world where criminals operate in a complex financial environment and across
          geographic boundaries, effective domestic and international inter-agency co-operation is
          the only viable response. The Forum asked the OECD, working with other international
          organisations and interested parties, to focus on improving inter-agency co-operation by
          mapping out different models of co-operation, their advantages and challenges with a
          view to developing best practice standards, and with a particular focus on the contribution
          that tax administrations can make in this regard. The importance of inter-agency
          co-operation was also underlined by the G20 Finance Ministers Communiqué of February
          2012, which calls for an update by the OECD, together with the FATF, on steps taken to
          prevent the misuse of corporate vehicles and improve interagency co-operation in the
          fight against illicit activities.
                This report describes the current position with respect to domestic inter-agency
          co-operation in 32 countries.5 The report, prepared by the Task Force on Tax Crimes and
          Other Crimes (TFTC), was presented and released at the second Forum on Tax and Crime
          held in Rome on 14-15 June 2012.
                This report is not an end point but the beginning of a series. Financial crime is an
          issue for all countries around the world. Future work may be conducted to enlarge the
          country coverage and to further deepen the level of analysis, with a view to providing
          maximum insights into the most effective ways of fighting financial crimes. For example,
          co-operation between the customs administration and other agencies may be analysed.
          Further reports may also be prepared to measure progress and enable countries to
          benchmark their systems internationally. The ongoing objective is to identify ways in
          which agencies can work together in combating financial crime to deliver better results,
          in shorter time frames and with lower costs. Improvements on domestic inter-agency
          co-operation will also have a positive impact on cross-border international co-operation.
          While this report is limited to domestic co-operation, future reports may also cover
          aspects of international co-operation, a topic on which work is also underway in the
          TFTC.
           4.
              OECD Handbook on Bribery Awareness for Tax Examiners and the OECD Handbook on
              Money Laundering Awareness for Tax Examiners and Tax Auditors.
           5.
              Australia, Austria, Belgium, Canada, Chile, the Czech Republic, Denmark, Finland, France,
              Germany, Greece, Iceland, India, Ireland, Italy, Japan, Korea, Luxembourg, Mexico, the
              Netherlands, New Zealand, Norway, Portugal, the Slovak Republic, Slovenia, South Africa,
              Spain, Sweden, Switzerland, Turkey, the United Kingdom and the United States.
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
"209","                                                                                                  BACKGROUND AND INTRODUCTION – 7
                   Box. 1 Recommendation of the OECD Council to Facilitate Co-operation
             between Tax and Other Law Enforcement Authorities to Combat Serious Crimes
                                                        14 October 2010
            THE COUNCIL
            Having regard to Article 5 b) of the Convention on the Organisation for Economic Co-operation
            and Development of 14 December 1960;
            Having regard to the Recommendation of the Council on Tax Measures for Further Combating
            Bribery of Foreign Public Officials in International Business Transactions;
            Having regard to the Recommendation of the Council concerning the Model Tax Convention on
            Income and on Capital (hereafter the “OECD Model Tax Convention”)
            Having regard to the Conclusions of the 2010 meeting of the Council at Ministerial level and the
            Declaration on Propriety, Integrity and Transparency in the Conduct of International Business
            and Finance
            Having regard to the Conclusions of the 2009 meeting of the Council at Ministerial level;
            Having regard to the FATF 40 Recommendations and nine Special Recommendations;
            Having regard to the 2009 OECD Money Laundering Awareness Handbook for Tax Examiners
            and Tax Auditors;
            Considering that tax authorities can play an important role in the detection of all serious crimes
            and not only foreign bribery;
            Considering that sharing information by tax authorities with other law enforcement authorities
            can advance efforts to detect, investigate and prosecute serious crimes;
            On the proposal of the Committee on Fiscal Affairs;
            I.    RECOMMENDS that Members establish, in accordance with their legal systems, an
            effective legal and administrative framework and provide guidance to facilitate reporting by tax
            authorities of suspicions of serious crimes, including money laundering and terrorism financing,
            arising out of the performance of their duties, to the appropriate domestic law enforcement
            authorities.
            II. FURTHER RECOMMENDS that Members consider to include in their bilateral tax
            treaties, the optional language of paragraph 12.3 of the Commentary to Article 26 of the OECD
            Model Tax Convention, which allows “the sharing of tax information by tax authorities with
            other law enforcement agencies and judicial authorities on certain high priority matters (e.g. to
            combat money laundering, corruption, terrorism financing)” and reads as follows:
            “Notwithstanding the foregoing, information received by a Contracting State may be used for
            other purposes when such information may be used for such other purposes under the laws of
            both States and the competent authority of the supplying State authorises such use.”
            III. INVITES non-Members to adhere to this Recommendation.
            IV. ENCOURAGES all countries to distribute widely within their tax administrations the
            2009 OECD Money Laundering Awareness Handbook for Tax Examiners and Tax Auditors.
            V. INSTRUCTS the Committee on Fiscal Affairs to monitor the implementation of the
            Recommendation and to promote it in the context of contacts with non-Members and to report to
            Council as appropriate.
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
"210","8 – BACKGROUND AND INTRODUCTION
              Box 2. Recommendation of the Council on Tax Measures for Further Combating
                  Bribery of Foreign Public Officials in International Business Transactions
                                                           25 May 2009
            THE COUNCIL,
            Having regard to Article 5, b) of the Convention on the Organisation for Economic Co-operation
            and Development of 14 December 1960;
            Having regard to the Recommendation of the Council on the Tax Deductibility of Bribes to
            Foreign Public Officials (hereafter the ""1996 Recommendation""), to which the present
            Recommendation succeeds;
            Having regard to the Revised Recommendation of the Council on Bribery in International
            Business Transactions;
            Having regard to the Convention on Combating Bribery of Foreign Public Officials in
            International Business Transactions to which all OECD Members and eight non-members are
            Parties, as at the time of the adoption of this Recommendation (hereafter the ""OECD
            Anti-Bribery Convention"");
            Having regard to the Commentaries on the OECD Anti-Bribery Convention;
            Having regard to the Recommendation of the Council concerning the Model Tax Convention on
            Income and on Capital (hereafter the ""OECD Model Tax Convention"");
            Welcoming the United Nations Convention Against Corruption to which most parties to the
            OECD Anti-Bribery Convention are State parties, and in particular Article 12.4, which provides
            that ""Each State Party shall disallow the tax deductibility of expenses that constitute bribes"";
            Considering that the 1996 Recommendation has had an important impact both within and
            outside the OECD, and that significant steps have already been taken by governments, the
            private sector and non-governmental agencies to combat the bribery of foreign public officials,
            but that the problem still continues to be widespread and necessitates strengthened measures;
            Considering that explicit legislation disallowing the deductibility of bribes increases the overall
            awareness within the business community of the illegality of bribery of foreign public officials
            and within the tax administration of the need to detect and disallow deductions for payments of
            bribes to foreign public officials; and
            Considering that sharing information by tax authorities with other law enforcement authorities
            can be an important tool for the detection and investigation of transnational bribery offences;
            On the proposal of the Committee on Fiscal Affairs and the Investment Committee;
            I.    RECOMMENDS that:
                  (i) Member countries and other Parties to the OECD Anti-Bribery Convention explicitly
                  disallow the tax deductibility of bribes to foreign public officials, for all tax purposes in an
                  effective manner. Such disallowance should be established by law or by any other binding
                  means which carry the same effect, such as:
                  •     Prohibiting tax deductibility of bribes to foreign public officials;
                  •     Prohibiting tax deductibility of all bribes or expenditures incurred in furtherance of
                  corrupt conduct in contravention of the criminal law or any other laws of the Party to the
                  Anti-Bribery Convention.
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
"211","                                                                                                  BACKGROUND AND INTRODUCTION – 9
             Box 2. Recommendation of the Council on Tax Measures for Further Combating
                 Bribery of Foreign Public Officials in International Business Transactions
                                                      25 May 2009 (cont.)
            Denial of tax deductibility is not contingent on the opening of an investigation by the law
            enforcement authorities or of court proceedings.
                 (ii) Each Member country and other Party to the OECD Anti-Bribery Convention review,
                 on an ongoing basis, the effectiveness of its legal, administrative and policy frameworks as
                 well as practices for disallowing tax deductibility of bribes to foreign public officials.
                 These reviews should assess whether adequate guidance is provided to taxpayers and tax
                 authorities as to the types of expenses that are deemed to constitute bribes to foreign public
                 officials, and whether such bribes are effectively detected by tax authorities.
                 (ii) Each Member country and other Party to the OECD Anti-Bribery Convention review,
                 on an ongoing basis, the effectiveness of its legal, administrative and policy frameworks as
                 well as practices for disallowing tax deductibility of bribes to foreign public officials.
                 These reviews should assess whether adequate guidance is provided to taxpayers and tax
                 authorities as to the types of expenses that are deemed to constitute bribes to foreign public
                 officials, and whether such bribes are effectively detected by tax authorities.
                 (iii) Member countries and other Parties to the OECD Anti-Bribery Convention consider
                 to include in their bilateral tax treaties, the optional language of paragraph 12.3 of the
                 Commentary to Article 26 of the OECD Model Tax Convention, which allows ""the sharing
                 of tax information by tax authorities with other law enforcement agencies and judicial
                 authorities on certain high priority matters (e.g. to combat money laundering, corruption,
                 terrorism financing)"" and reads as follows:
            ""Notwithstanding the foregoing, information received by a Contracting State may be used for
            other purposes when such information may be used for such other purposes under the laws of
            both States and the competent authority of the supplying State authorises such use.""
            II. Further RECOMMENDS Member countries and other Parties to the OECD Anti-Bribery
            Convention, in accordance with their legal systems, to establish an effective legal and
            administrative framework and provide guidance to facilitate reporting by tax authorities of
            suspicions of foreign bribery arising out of the performance of their duties, to the appropriate
            domestic law enforcement authorities.
            III. INVITES non-members that are not yet Parties to the OECD Anti-Bribery Convention to
            apply this Recommendation to the fullest extent possible.
            IV. INSTRUCTS the Committee on Fiscal Affairs together with the Investment Committee to
            monitor the implementation of the Recommendation and to promote it in the context of contacts
            with non-members and to report to Council as appropriate.
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
"212",""
"213","                                                                             CHAPTER 1 – KEY FINDINGS AND RECOMMENDATIONS – 11
                                                            Chapter 1
                                   Key Findings and Recommendations
A. In general
               The report identifies key agencies involved in the different stages of combating
          financial crime. It considers the organisational models for these agencies adopted in
          different countries. These models form the framework around which arrangements for
          inter-agency co-operation are built. Taking into account the different agency models
          applied, the report identifies flows of information that are particularly important in
          enabling these agencies to operate effectively in combating financial crime. It describes
          the broad position with respect to the existence of legal gateways in countries to enable
          these flows to take place, as well as any particular barriers or impediments that exist.
          While the ability to share information is a necessary condition for inter-agency
          co-operation, many countries have gone further and have put in place enhanced forms of
          co-operation to make optimal use of these gateways and the report describes the
          arrangements for enhanced co-operation currently in place.
B. Organisational models for agencies fighting tax crimes and other financial crime
               Strategies for combating financial crimes comprise a number of key stages, including
          the prevention, detection, investigation and prosecution of offences, and the recovery of
          the proceeds of crime. Depending upon the circumstances, these strategies can involve a
          number of government agencies, including the tax administration; the customs
          administration; anti-money laundering authorities including the Financial Intelligence
          Unit („FIU‟); the police and specialised law enforcement agencies; the public prosecutor‟s
          office; and financial regulators.
               A range of organisational models exist for structuring each of these agencies and
          allocating competences among them. Some of these models are long-standing and were
          established as a country‟s framework for law enforcement was developed. Other models
          reflect more recent policy decisions. Each organisational model has distinct features
          which need to be taken into account when developing strategies for inter-agency
          co-operation, so as to ensure that the full benefits of co-operation are achieved. Which
          agency has responsibility for a particular activity will directly impact the processes and
          agreements required to achieve a desired benefit from co-operation.
               For instance, looking at ways countries have allocated responsibilities for countering
          tax crime the Report identifies the following four models:
                Model 1: the tax administration has responsibility for directing and conducting
                 investigations. This model is applied in Australia, Canada, Germany, Greece,
                 India, Ireland, Korea, New Zealand, South Africa, Switzerland, the United
                 Kingdom and the United States.
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
"214","12 – CHAPTER 1 – KEY FINDINGS AND RECOMMENDATIONS
                Model 2: the tax administration has responsibility for conducting investigations,
                 under the direction of the public prosecutor. This model is applied in Austria, Chile,
                 the Netherlands, Portugal, Sweden, Spain and the United States. In Spain
                 investigations are currently directed by an examining judge.
                Model 3: a specialist tax agency, under the supervision of the Ministry of Finance
                 but outside the tax administration, has responsibility for conducting investigations.
                 This model is applied in Greece, Iceland and Turkey.
                Model 4: the police or public prosecutor has responsibility for conducting
                 investigations. This model is applied in Belgium, the Czech Republic, Denmark,
                 Finland, France, Japan, Luxembourg, Mexico, Norway, the Slovak Republic
                 and Slovenia.
               Italy is not included in the four models set out above. In Italy, responsibility for
          carrying out investigations into financial crimes, including tax crimes, sits with the
          Guardia di Finanza, which can conduct such investigations both independently and also
          under the direction of the public prosecutor. The Guardia di Finanza is also able to carry
          out civil tax investigations and audits in accordance with its own administrative powers.
          The United States is included in both Model 1 and Model 2, to reflect two types of
          criminal investigations. The first is an administrative investigation, which is conducted by
          a tax administration employee and the case is then referred to a prosecutor. The second is
          a Grand Jury investigation which is initiated and worked under the direction of a
          prosecutor from the inception of the investigation. In Greece, tax offences may be
          investigated by the tax administration or by the Economic Crimes Enforcement Agency
          (SDOE), which sits under the Ministry of Finance. Greece is therefore included under
          both Model 1 and Model 3.
C. Models for sharing information
               In the course of their activities, different government agencies collect and hold
          information on individuals, corporations and transactions which may be directly relevant
          to the activities of other agencies in combating financial crime. Mechanisms to enable
          this information to be shared improve the prevention and detection of financial offences,
          enable investigations to be conducted more effectively and efficiently, result in faster and
          more successful prosecutions, and increase the likelihood of the proceeds of crime being
          recovered. In order for information to be shared, legal gateways must exist between the
          relevant agencies. Conditions and exceptions can be applied to different forms of
          arrangement and gateways may provide for different arrangements to apply in different
          circumstances. Under all types of co-operation with respect to sharing information among
          different agencies, it is important to protect the confidentiality of information and the
          integrity of work carried out by other agencies. The Report identifies four different types
          of co-operation with respect to sharing information among different agencies: (i) direct
          access to information contained in agency records or databases; (ii) an obligation to
          provide information spontaneously (sometimes expressed as a „reporting obligation‟); (iii)
          an ability, but not an obligation, to provide information spontaneously; and (iv) an
          obligation or ability to provide information only on request.
EFFECTIVE INTER-AGENCY CO–OPERATION IN FIGHTING TAX CRIMES AND OTHER FINANCIAL CRIMES – © OECD 2012
"
